feature,8.14.25_rf_1_quantiles,8.14.25_rf_1_quantiles_diff,8.14.25_rf_1_std,8.14.25_rf_1_std_diff
p_total_time_played_max_Team0,0.008988764044943842,,,
p_total_time_played_min_diff,,,,0.019101123595505577
p_total_time_played_q75_Team0,0.008988764044943842,,,
p_total_time_played_q75_diff,,0.012359550561797782,,
p_total_time_played_std_Team0,,,0.017977528089887663,
p_total_time_played_std_diff,,,,0.008988764044943776
ph_assists_max_diff,,0.010112359550561823,,
ph_assists_mean_diff,,,,0.003370786516853919
ph_assists_min_diff,,0.013483146067415741,,0.005617977528089857
ph_assists_ratio_std_diff,,,,0.005617977528089857
ph_assists_std_diff,,,,0.004494382022471899
ph_damage_per_min_max_Team0,,,0.019101123595505642,
ph_damage_per_min_max_Team1,0.011235955056179803,,,
ph_damage_per_min_max_diff,,0.012359550561797782,,0.014606741573033655
ph_damage_per_min_mean_Team1,,,0.020224719101123622,
ph_damage_per_min_mean_diff,,,,0.014606741573033655
ph_damage_per_min_median_Team1,0.008988764044943842,,,
ph_damage_per_min_median_diff,,0.02247191011235956,,
ph_damage_per_min_min_diff,,,,0.004494382022471899
ph_damage_per_min_ratio_max_Team0,,,0.020224719101123646,
ph_damage_per_min_ratio_max_Team1,0.015730337078651725,,,
ph_damage_per_min_ratio_max_diff,,,,0.015730337078651634
ph_damage_per_min_ratio_median_diff,,0.008988764044943842,,
ph_damage_per_min_ratio_min_Team0,,,0.019101123595505642,
ph_damage_per_min_ratio_q25_diff,,0.010112359550561823,,
ph_damage_per_min_std_diff,,,,0.004494382022471854
ph_deaths_max_Team1,,,0.024719101123595544,
ph_deaths_min_Team1,0.010112359550561823,,,
ph_deaths_q75_Team0,0.008988764044943842,,,
ph_deaths_q75_diff,,0.008988764044943842,,
ph_deaths_std_Team1,,,0.014606741573033743,
ph_deaths_std_diff,,,,0.006741573033707838
ph_kd_ratio_max_diff,,0.010112359550561823,,0.005617977528089879
ph_kd_ratio_median_diff,,0.01123595505617978,,
ph_kd_ratio_min_Team0,,,0.020224719101123646,
ph_kd_ratio_q25_Team1,0.007865168539325862,,,
ph_kills_max_Team0,,,0.014606741573033743,
ph_kills_median_Team0,0.006741573033707882,,,
ph_kills_std_Team1,,,0.019101123595505663,
ph_time_played_mean_diff,,,,0.01573033707865166
ph_time_played_median_diff,,0.016853932584269704,,
ph_time_played_min_diff,,0.016853932584269704,,
ph_time_played_q25_Team0,0.010112359550561823,,,
ph_time_played_q25_diff,,0.012359550561797782,,
ph_time_played_ratio_max_Team0,0.011235955056179803,,,
ph_time_played_ratio_min_Team0,,,0.021348314606741626,
ph_time_played_ratio_min_diff,,,,0.003370786516853919
ph_time_played_ratio_std_Team0,,,0.015730337078651725,
ph_total_kd_max_Team1,0.008988764044943842,,,
ph_total_kd_mean_Team0,,,0.015730337078651725,
ph_total_kd_median_diff,,0.01123595505617978,,
ph_total_kd_min_diff,,0.008988764044943842,,
ph_total_kd_q75_Team0,0.010112359550561823,,,
ph_total_kd_q75_diff,,0.01685393258426966,,
ph_win_rate_ratio_max_Team0,0.012359550561797782,,0.03258426966292134,
ph_win_rate_ratio_max_Team1,0.01460674157303372,,0.03370786516853932,
ph_win_rate_ratio_max_diff,,0.025842696629213503,,0.028089887640449396
ph_win_rate_ratio_mean_Team0,,,0.07303370786516857,
ph_win_rate_ratio_mean_Team1,,,0.04494382022471912,
ph_win_rate_ratio_mean_diff,,,,0.09550561797752807
ph_win_rate_ratio_median_Team1,0.017977528089887663,,,
ph_win_rate_ratio_median_diff,,0.01685393258426966,,
ph_win_rate_ratio_min_Team0,0.008988764044943864,,0.026966292134831482,
ph_win_rate_ratio_min_Team1,0.023595505617977564,,0.07191011235955058,
ph_win_rate_ratio_min_diff,,0.06179775280898876,,0.07752808988764041
ph_win_rate_ratio_q25_diff,,0.014606741573033743,,
ph_wins_mean_diff,,,,0.004494382022471877
ph_wins_median_Team0,0.006741573033707882,,,
ph_wins_min_Team1,,,0.020224719101123646,
ph_wins_min_diff,,,,0.014606741573033655
ph_wins_q25_Team0,0.008988764044943842,,,
