feature_group,8.14.25_rf_1_quantiles,8.14.25_rf_1_std
p_total_time_played,0.0022471910112359826,0.011235955056179803
ph_assists,-0.024719101123595454,0.005617977528089901
ph_damage_per_min,-0.0022471910112359383,0.02247191011235956
ph_deaths,4.4408920985006264e-17,0.025842696629213503
ph_kd,-0.007865168539325795,0.023595505617977564
ph_kills,-0.0011235955056179358,0.022471910112359585
ph_time_played,-0.014606741573033677,0.00898876404494382
ph_total_kd,0.010112359550561844,0.022471910112359585
ph_win_rate,0.13370786516853936,0.21348314606741572
ph_wins,0.015730337078651745,0.024719101123595523
