hero_id,h_bucket,h_wins,h_losses,h_matches,h_matches_per_bucket,h_players,h_total_kills,h_total_deaths,h_total_assists,h_total_net_worth,h_total_last_hits,h_total_denies,h_total_player_damage,h_total_player_damage_taken,h_total_boss_damage,h_total_creep_damage,h_total_neutral_damage,h_total_max_health,h_total_shots_hit,h_total_shots_missed
1,,20304,22177,42481,870516,7070,249332,280580,371353,1403212106,7194672,267544,1007862270,1111144688,224796562,1364890791,1138409526,116613360,109992012,64441909
2,,19229,17559,36788,870516,6046,207900,247963,385379,1275479177,6992089,200214,954868014,883816129,239050927,1429900821,1236336303,97956357,57800910,39818844
3,,20326,19684,40010,870516,4724,312936,218554,428742,1295760928,5243476,258955,1062378920,596590964,225707823,1225867853,446092701,81361807,47601131,33430766
4,,19170,18842,38012,870516,5061,222171,245187,374645,1245873752,6433543,215001,1111132206,1034325266,270550859,1546424306,867007726,114446225,24427762,10830798
6,,17928,17290,35218,870516,4904,222297,257233,345134,1094546157,4858866,218033,732094077,1095438318,232572078,1167237964,616954349,108203479,102884415,66565133
7,,21441,20562,42003,870516,5585,274433,240882,358955,1430892301,7453935,321660,1023749892,861404985,442063290,1457519104,1151060825,104868635,157951402,112913499
8,,6472,6459,12931,870516,2324,52449,86121,125668,404233411,2045675,98893,258021731,336870443,118188154,435993847,245147474,36024218,37703025,30544555
10,,20901,20645,41546,870516,5108,239244,260303,509778,1282122618,5674940,258504,997470213,907001197,214478168,1234024510,573495685,111088910,66180857,51659411
11,,11996,11840,23836,870516,3735,85346,148273,299200,704183443,2791648,130129,340987929,636630527,92029128,657052205,253076186,67742653,18165555,11451950
12,,10363,10454,20817,870516,2828,93652,119871,255458,610606350,2403762,138190,367441511,625077863,86531434,553092345,209917198,62962712,13656009,8452181
13,,26275,29597,55872,870516,7842,416569,379380,451754,1868746575,9450026,394664,1336730842,1209017857,344762556,1724556746,1544818572,131755719,191253573,115787777
14,,10994,11050,22044,870516,2714,151402,135448,267210,701886089,3016895,79205,505862291,478046329,105815859,738600244,328974937,57001683,10147532,5114581
15,,21963,22843,44806,870516,5194,312175,314251,469546,1376171519,6074150,256613,1062021125,1162013512,199689848,1333886031,729278996,129119944,100342213,80858191
16,,14405,13380,27785,870516,3912,196958,177968,279460,923850453,4014232,166928,692850159,781769309,191352882,884994390,483058236,88453268,148412376,135900849
17,,12523,13604,26127,870516,3890,188110,141621,250642,832958374,3992682,152573,751274274,394508714,125174691,1000899771,451706325,55000923,24832080,11064389
18,,14835,13905,28740,870516,4207,134882,190345,355956,898841748,4109527,149513,514933143,949646857,165496065,892158330,479740258,103311620,90881330,76516749
19,,20485,23147,43632,870516,6000,349593,296886,335050,1400932554,6624058,276074,1030730942,1227588865,258133050,1497207108,920790907,131122375,135564777,75295883
20,,16192,14896,31088,870516,3747,127118,184035,356959,984693051,4922130,219990,628558321,731799763,231802336,1090583012,528916196,78953715,82825988,66839218
25,,19755,18066,37821,870516,5474,254354,253424,354394,1228524489,6300182,179580,960862875,978613199,331643070,1438634891,805631819,115446442,46085184,28076856
27,,19952,19263,39215,870516,4404,277395,275337,357403,1266069278,6232336,163591,1002103988,1064467888,271613499,1385296478,929882981,97859349,88003955,44564093
31,,29364,29346,58710,870516,6429,398407,369689,668450,1855333923,8222600,287025,1442609827,1284105682,238664112,1873391892,959906817,153270638,63613799,48641321
35,,11444,12165,23609,870516,3124,121154,134735,255857,732028170,3407113,126961,537829124,548911597,112002445,809360667,352614074,62208215,19590344,12958638
50,,18503,18812,37315,870516,4146,252799,236806,368333,1228899718,6218292,229188,1136478585,713373638,254374734,1474816510,845547040,82000475,101211343,68010072
52,,18999,18583,37582,870516,5060,241964,218087,389925,1221508169,5874865,251244,997756967,856766907,258949227,1363156109,616426690,104162313,43039227,21779020
58,,6102,5671,11773,870516,1883,93055,82196,94153,398201388,1818973,79315,291109515,286995232,115288524,341196099,302193932,30464537,47080605,39260815
60,,5337,5418,10755,870516,1600,62427,63624,117344,336537957,1396627,35887,246186306,238910850,61958666,337941925,128119470,27161384,7359426,6191591
